city_name,postal_code,price_sqm,region,province,longitude,lattitude
Heppignies,6220.0,1108.9405211097005,Wallonie,Hainaut,4.4935448,50.4817059
Herbeumont,6887.0,1243.8487660156193,Wallonie,Luxembourg,5.2377736,49.7815364
Herchies,7050.0,1695.9305969954942,Wallonie,Hainaut,3.8577095,50.528238
Herent,3020.0,2413.0027444396983,Flandre,Brabant flamand,4.672714,50.9079329
Herentals,2200.0,1879.5266636199603,Flandre,Anvers,4.83464460985,51.1855514
Herenthout,2270.0,1712.431633792655,Flandre,Anvers,4.7543972000000005,51.1392427
Herfelingen,1540.0,1937.126028989173,Flandre,Brabant flamand,4.0974868,50.747729
Hergenrath,4728.0,1395.422619047619,Wallonie,Liège,6.0316891,50.7091279
Herk-De-Stad,3540.0,1736.9476891860895,Flandre,Limbourg,5.1884301868953,50.9222911
Hermalle-Sous-Argenteau,4681.0,2011.111111111111,Wallonie,Liège,5.680871099999999,50.710544
Hermée,4680.0,1473.8555436225624,Wallonie,Liège,5.6186068,50.7087526
Herseaux,7712.0,1471.6298755317766,Wallonie,Hainaut,3.2342044,50.7227127
Herstal,4040.0,1403.1463811973301,Wallonie,Liège,5.6403906,50.6701887
Herstappe,3717.0,984.1897233201581,Flandre,Limbourg,5.4260923,50.7273829
Hertain,7522.0,1475.6764293171884,Wallonie,Hainaut,3.2880161,50.6141111
Hertsberge,8020.0,1952.6241500717338,Flandre,Flandre-Occidentale,3.2612349549978,51.10996785
Herve,4650.0,1818.363717064605,Wallonie,Liège,5.7935245,50.63921120000001
Heule,8501.0,1534.7971523988147,Flandre,Flandre-Occidentale,3.2382004806211,50.8511736
Heure,5377.0,1517.428042753134,Wallonie,Namur,5.2963125,50.2945343
Heusden,3550.0,1663.6684058082046,Flandre,Limbourg,5.283553129278401,51.04153335
Heusy,4802.0,1714.7650638406242,Wallonie,Liège,5.867539,50.57804
Hever,3191.0,1422.8116549826264,Flandre,Brabant flamand,4.5553278,50.9925865
Heverlee,3001.0,2489.9739980237064,Flandre,Brabant flamand,4.693130751028098,50.85172925
Heyd,6941.0,1874.8676250767594,Wallonie,Luxembourg,5.562158,50.346445
Hoboken,2660.0,1911.0378343666794,Flandre,Anvers,4.3511502171395,51.1757824
Hodeige,4351.0,1445.7241082939406,Wallonie,Liège,5.342657900000002,50.6960127
Hody,4162.0,666.6666666666666,Wallonie,Liège,5.5009881,50.4869156
Hoegaarden,3320.0,1461.087175518793,Flandre,Brabant flamand,4.881141936140001,50.7877912
Hoeilaart,1560.0,2603.9992209159414,Flandre,Brabant flamand,4.474407,50.7674846
Hoevenen,2940.0,1877.008627469284,Flandre,Anvers,4.4046996,51.30661679999999
Hofstade,1981.0,2070.6917899357154,Flandre,Brabant flamand,4.5042526607237,50.9939033
Hognoul,4342.0,1782.936507936508,Wallonie,Liège,5.4556394,50.6808099
Hombeek,2811.0,2212.1333063986654,Flandre,Anvers,4.4211910518318,51.01166405
Hombourg,4852.0,972.2222222222222,Wallonie,Liège,5.9207511,50.723243
Hooglede,8830.0,1903.122549482508,Flandre,Flandre-Occidentale,3.0687215849639,50.98218015
Hoogstraten,2320.0,2223.3887024351084,Flandre,Anvers,4.744065641418599,51.39574085
