city_name,postal_code,price_sqm,region,province,longitude,lattitude
Fexhe-Le-Haut-Clocher,4347.0,2176.9605263157896,Wallonie,Liège,5.3985197,50.66608179999999
Fexhe-Slins,4458.0,2296.296296296296,Wallonie,Liège,5.5714611,50.7219179
Fize-Le-Marsal,4367.0,2461.885581010401,Wallonie,Liège,5.386298,50.70135300000001
Fléron,4620.0,2167.5804393924172,Wallonie,Liège,5.6832219,50.6168354
Flône,4540.0,2344.8169474001415,Wallonie,Liège,5.3354735999999985,50.5582387
Fontaine-L'evêque,6140.0,1905.3122739366809,Wallonie,Hainaut,4.3239637925238,50.411224661019
Fooz,4340.0,2200.0,Wallonie,Liège,5.4376155,50.6762489
Forchies-La-Marche,6141.0,1717.0617228568665,Wallonie,Hainaut,4.3198191,50.4383794
Forest,1190.0,2959.5546253671205,Bruxelles,Bruxelles-Capitale,4.3177512,50.8091426
Fouron-Le-Comte,3798.0,2080.5522208883554,Flandre,Limbourg,5.771946190056701,50.7611375
Frameries,7080.0,1707.1697947898515,Wallonie,Hainaut,3.8905656,50.4087571
Franière,5150.0,2314.367816091954,Wallonie,Namur,4.7317890999999985,50.4389093
Fumal,4260.0,2121.212121212121,Wallonie,Liège,5.184607,50.586887
Galmaarden,1570.0,2339.2666864934904,Flandre,Brabant flamand,3.9709983,50.7527192
Ganshoren,1083.0,2540.172916198473,Bruxelles,Bruxelles-Capitale,4.3175103,50.8712396
Gaurain-Ramecroix,7530.0,1153.8461538461538,Wallonie,Hainaut,3.4834445,50.5924891
Geel,2440.0,2427.4366943224422,Flandre,Anvers,4.9903187,51.1610826
Gellik,3620.0,2238.378774054938,Flandre,Limbourg,5.6091315,50.8839456
Gelrode,3200.0,3012.5080985582576,Flandre,Brabant flamand,4.804273044098401,50.9670761
Geluwe,8940.0,1962.6941781286298,Flandre,Flandre-Occidentale,3.0689009201802,50.826939
Gemmenich,4851.0,1294.1176470588234,Wallonie,Liège,5.996763099999999,50.7463908
Genk,3600.0,2570.6344994499723,Flandre,Limbourg,5.5001456,50.9654864
Gent,9000.0,3892.477376358533,Flandre,Flandre-Orientale,3.7141549000597,51.0397129
Gentbrugge,9050.0,2839.6346126961516,Flandre,Flandre-Orientale,3.7588813,51.04472360000001
Genval,1332.0,3589.6511770359702,Wallonie,Brabant wallon,4.497138934412098,50.72074495
Geraardsbergen,9500.0,2091.061870703409,Flandre,Flandre-Orientale,3.879789,50.7689045
Gesves,5340.0,1861.1861783071838,Wallonie,Namur,5.0776175000000014,50.4028535
Ghlin,7011.0,1782.608695652174,Wallonie,Hainaut,3.903746,50.4760502
Gierle,2275.0,2530.669537838668,Flandre,Anvers,4.8676797,51.26758
Gijzegem,9308.0,2457.7402427812103,Flandre,Flandre-Orientale,4.0413684723722,50.9831967
Gilly,6060.0,1302.2217470883245,Wallonie,Hainaut,4.4856490134380005,50.4269705
Gistel,8470.0,2797.7713924022205,Flandre,Flandre-Occidentale,2.9670810948205,51.15825020000001
Glain,4000.0,2228.839769482483,Wallonie,Liège,5.541864,50.648205
Gontrode,9090.0,2274.2565591439375,Flandre,Flandre-Orientale,3.7976423,50.9842505
Gosselies,6041.0,1622.3616044406608,Wallonie,Hainaut,4.4301757,50.4653846
Gouvy,6670.0,2065.923023851764,Wallonie,Luxembourg,5.9549305,50.1907895
Gouy-Lez-Piéton,6181.0,1998.888888888889,Wallonie,Hainaut,4.3287132,50.4875628
Gozée,6534.0,2215.7664647367465,Wallonie,Hainaut,4.3515595000000005,50.3332279
Grand-Axhe,4300.0,1915.1675281280181,Wallonie,Liège,5.2243853,50.6789987
Grand-Halleux,6698.0,1446.4285714285716,Wallonie,Luxembourg,5.9072517,50.3262753
Grandhan,6940.0,2404.3627137031795,Wallonie,Luxembourg,5.4086678,50.3299795
Grandvoir,6840.0,1978.053531012094,Wallonie,Luxembourg,5.3717959,49.8576034
Graty,7830.0,2106.07967429396,Wallonie,Hainaut,3.9967288,50.6311726
Grez-Doiceau,1390.0,2903.415634978851,Wallonie,Brabant wallon,4.6962324,50.73861820000001
Grimbergen,1850.0,2937.3941257110587,Flandre,Brabant flamand,4.4013732626459,50.95030565
Grivegnee,4030.0,2090.667656833118,Wallonie,Liège,5.599573,50.621845
Grobbendonk,2280.0,2425.3683279342313,Flandre,Anvers,4.7318844301963,51.18870335
Groot-Bijgaarden,1702.0,3227.1485625969253,Flandre,Brabant flamand,4.2635668372339,50.8714357
Grote-Spouwen,3740.0,1971.592268443635,Flandre,Limbourg,5.5538483,50.832524
Grotenberge,9620.0,2428.7490916579363,Flandre,Flandre-Orientale,3.8333978,50.872305
